POSTED_BY;UNDER_CONSTRUCTION;RERA;BHK_NO.;BHK_OR_RK;SQUARE_FT;READY_TO_MOVE;RESALE;ADDRESS;LONGITUDE;LATITUDE;TARGET(PRICE_IN_LACS)
Dealer;0;1;2;BHK;1.244.444.444;1;1;Belatur,Bangalore;13.012.767;77.756.579;44.8
Dealer;0;1;2;BHK;1.275.016.139;1;1;Thanisandra,Bangalore;13.055.985;77.622.157;79.0
Owner;0;0;2;BHK;1.177.212.529;1;1;Immadihalli,Bangalore;1.296.573;7.776.356.700.000.000;56.0
Dealer;0;0;2;BHK;1.150.020.125;1;1;Hiranandani Gardens - Powai,Mumbai;19.124.896;7.289.350.300.000.000;400.0
Dealer;1;1;1;BHK;42.400.881.060.000.000;0;0;Kandivali (East),Maharashtra;191.955;728.728;92.4
Owner;0;0;3;BHK;2000.0;1;1;Rishra,Kolkata;227.239;883.456;70.0
Dealer;0;0;3;BHK;1.460.427.136;1;1;Zirakpur,Chandigarh;30.662.283.000.000.000;76.822.397;46.5
Dealer;1;1;2;BHK;9.809.691.976;0;1;Airoli,Maharashtra;19.159.184;7.299.378.399.999.990;100.0
Dealer;0;0;2;BHK;1250.0;1;1;Sector 20 Airoli,Maharashtra;19.155.552;72.997.112;120.0
Dealer;0;0;3;BHK;16.900.676.030.000.000;1;1;Goregaon (East),Maharashtra;191.615;728.731;390.0
Owner;1;0;1;BHK;7.017.543.860.000.000;0;1;Dindoli,Surat;21.142.359;72.862.596;14.8
Dealer;1;1;3;BHK;7.437.790.539;0;1;Sector 86 Faridabad,Faridabad;28.406.388;77.342.588;27.2
Owner;0;1;2;BHK;930.156.658;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;28.5
Owner;0;0;2;BHK;800.0;1;1;Kamla Nehru Nagar,Jaipur;28.683.355;77.457.981;25.0
Owner;0;0;1;BHK;5.598.755.832;1;1;Alwar Bypass Road,Bhiwadi;282.102;768.606;18.0
Dealer;0;0;2;BHK;1150.0;1;1;Kalyani Nagar,Pune;185.481;738.995;92.0
Dealer;0;0;3;BHK;8.836.524.300.000.000;1;1;Military Camp,Vakola, Santacruz East,Lalitpur;190.916;728.581;270.0
Owner;0;0;2;BHK;12.640.772.240.000.000;1;1;Devlali,Karjat;18.55;75.0;55.0
Dealer;0;0;3;BHK;19.810.301.359.999.900;1;1;Mandaveli,Chennai;13.09;80.27;330.0
Dealer;1;0;2;BHK;7.801.980.198;0;1;Sector 87 Faridabad,Faridabad;28.427.661.999.999.900;77.339.119;19.7
Dealer;1;1;2;BHK;7.302.533.532.000.000;0;1;Panchkula Extension,Panchkula;30.694.440.000.000.000;7.685.028;19.6
Dealer;0;1;2;BHK;1.123.126.785;1;1;Parel,Lalitpur;18.996.548.999.999.900;72.842.967;350.0
Dealer;0;0;2;BHK;1.032.080.502;1;1;Sector-35G Kharghar,Maharashtra;18.96;72.82;120.0
Dealer;0;0;3;BHK;1.839.401.243;1;1;Napean Sea Road,Lalitpur;24.690.279.999.999.900;7.841.889;870.0
Owner;0;0;2;BHK;9.600.808.489;1;1;Potheri,Chennai;13.09;80.27;38.0
Owner;0;0;2;BHK;13.790.386.130.000.000;1;1;Medavakkam,Chennai;1.291.716;8.019.287;70.0
Dealer;0;1;2;BHK;8.478.091.780.999.990;1;1;Virar West,Lalitpur;194.559;728.114;32.7
Owner;0;0;8;BHK;2720.0;1;1;Wheelers Road,Bangalore;21.0;77.0;170.0
Owner;0;0;3;BHK;22.852.789.940.000.000;1;1;BEML Layout,Bangalore;13.116.079.999.999.900;7.813.698.000.000.000;120.0
Owner;0;0;2;BHK;8.100.445.525;1;1;Sangam Park,Valsad;28.690.059;77.189.192;20.0
Owner;0;0;2;BHK;6.400.931.045;1;1;Byagadadhenahalli,Bangalore;12.758.604;77.700.377;22.0
Dealer;0;0;2;BHK;106.506.584;1;1;Manpada,Lalitpur;24.690.279.999.999.900;7.841.889;110.0
Dealer;0;0;2;BHK;9.800.918.836.000.000;1;1;Sector-9 Kamothe,Lalitpur;28.716.907;7.712.469.899.999.990;64.0
Dealer;0;0;3;BHK;16.503.122.210.000.000;1;1;Sector-15 Bahadurgarh,Bahadurgarh;30.752.321.000.000.000;76.772.816;37.0
Dealer;0;0;3;BHK;1.827.242.525;1;1;Chandrasekharpur,Bhubaneswar;20.320.420.000.000.000;85.823.918;88.0
Dealer;1;1;3;BHK;16.848.016.850.000.000;0;1;Orlem,Maharashtra;18.96;72.82;240.0
Dealer;0;0;3;BHK;1.680.210.325;1;1;Malsi,Dehradun;30.381.791.999.999.900;7.807.509.399.999.990;70.3
Dealer;1;1;1;BHK;4.760.080.976;0;1;Pokhran-2,Lalitpur;24.690.279.999.999.900;7.841.889;87.0
Dealer;0;0;1;BHK;750.0;1;1;Shivaji Park,Mumbai;190.266.715;7.283.954;240.0
Owner;0;0;2;BHK;7.120.058.925;1;1;Maheshtala,Kolkata;22.486.821;88.233.267;29.0
Dealer;0;0;3;BHK;1.307.189.542;1;1;Karapakkam,Chennai;12.925.027;80.235.348;86.0
Dealer;0;0;5;BHK;2.949.852.507;1;1;Southern Avenue,Kolkata;2.254.111;8.833.778.000.000.000;300.0
Dealer;0;1;1;BHK;5.940.940.066.000.000;1;1;Wagholi,Pune;185.823;73.983;34.0
Dealer;0;1;2;BHK;1.414.177.126;1;1;Sector-100 Noida,Noida;28.542.768;77.365.736;80.0
Dealer;0;1;3;BHK;24.327.784.890.000.000;1;1;Sector-50 Noida,Noida;285.679;773.679;190.0
Dealer;0;0;3;BHK;2400.0;1;1;Akota,Vadodara;222.951;731.686;120.0
Dealer;0;0;2;BHK;8.600.917.431;1;1;Tapukara,Bhiwadi;282.102;768.606;15.0
Dealer;0;0;3;BHK;1.776.649.746;1;1;Garudachar Palya,Bangalore;12.928.575;7.758.572.099.999.990;140.0
Dealer;1;0;3;BHK;1200.0;0;1;Haridwar-Dehradun Road,Dehradun;30.327.965.999.999.900;78.046.144;53.4
Dealer;0;0;4;BHK;18.500.071.149.999.900;1;1;Sector-48A Chandigarh,Chandigarh;30.739.119;7.676.778.399.999.990;130.0
Dealer;0;0;1;BHK;6.500.171.057;1;1;Jogeshwari (West),Mumbai;19.141.644;72.842.908;95.0
Dealer;1;1;1;BHK;4.099.800.867;0;0;Tilak nagar,Mumbai;19.068.492.000.000.000;72.898.896;70.0
Dealer;1;0;2;BHK;8.487.778.673;0;1;Avadi,Chennai;21.490.368;73.338.475;31.6
Owner;0;0;2;BHK;1200.0;1;1;Daba Gardens,Visakhapatnam;18.405.972;82.662.089;66.0
Owner;0;0;1;BHK;350.140.056;1;1;Waghodia,Vadodara;22.294.094;7.323.368.599.999.990;7.5
Dealer;1;0;2;BHK;971.066.191;0;1;cuttack naya bazar,Cuttack;20.45;8.586.667;49.0
Dealer;0;0;2;BHK;1.355.140.187;1;1;Adajan,Surat;24.395.822;78.989.627;58.0
Dealer;1;0;2;BHK;5.812.220.566.000.000;0;1;Mamurdi,Pune;18.673.472;73.714.564;39.0
Dealer;0;0;2;BHK;13.384.754.990.000.000;1;1;Sector-15 Bahadurgarh,Bahadurgarh;30.752.321.000.000.000;76.772.816;29.5
Dealer;1;1;2;BHK;7.150.595.883;0;1;Moshi,Pune;18.669.919;73.853.723;33.0
Dealer;0;1;3;BHK;1.404.918.033;1;1;Jalahalli,Bangalore;130.519;775.416;85.7
Owner;0;0;3;BHK;1.442.307.692;1;1;Gothapatna,Bhubaneswar;20.296.129.999.999.900;85.741.152;42.0
Dealer;0;0;2;BHK;13.282.051.279.999.900;1;1;Kalinganagar,Bhubaneswar;2.026.444;8.582.806;51.8
Owner;0;0;2;BHK;101.010.101;1;1;HMT LAYOUT VIDYARANYAPURA,Bangalore;130.814;775.566;68.0
Dealer;0;0;1;BHK;6.000.342.877;1;1;Raval Pada,Mumbai;18.786.013;73.576.291;70.0
Owner;0;0;3;BHK;166.023.166;1;1;Akshaya Nagar,Bangalore;1.296.991;7.759.796;86.0
Dealer;0;0;3;BHK;1.605.136.437;1;1;Rajaji Nagar,Bangalore;129.847;775.491;230.0
Owner;0;0;2;BHK;12.001.200.119.999.900;1;1;Kamla Nagar,Agra;27.221.766;78.026.673;40.0
Dealer;0;0;3;BHK;1.398.713.826;1;1;Sector 84 Faridabad,Faridabad;28.404.729.999.999.900;77.367.514;52.2
Dealer;0;0;1;BHK;6.000.436.394.999.990;1;1;Dombivli (West),Lalitpur;192.167;730.833;55.0
Dealer;0;0;3;BHK;2000.0;1;1;Sanjay nagar,Bangalore;130.352;775.772;130.0
Dealer;0;1;3;BHK;2.040.081.603;1;1;Mahalakshmi Puram,Bangalore;1.296.991;7.759.796;170.0
Owner;1;1;2;BHK;8.760.402.979;0;1;Chakan,Pune;18.744.775;73.823.649;40.0
Owner;0;0;2;BHK;101.010.101;1;1;Rajpur,Kolkata;22.101.107;88.374.433;50.0
Owner;0;0;2;BHK;1200.0;1;1;Varachha,Surat;21.218.626;72.862.113;48.0
Dealer;0;1;1;BHK;699.408.284;1;1;Mira Road,Lalitpur;19.283.359;72.864.964;59.1
Builder;1;1;2;BHK;1.069.444.444;0;0;Begur,Bangalore;128.706;776.279;38.5
Dealer;0;0;4;BHK;2.659.574.468;1;1;Vesu,Surat;21.143.354.000.000.000;72.770.931;100.0
Dealer;0;1;2;BHK;12.550.607.289.999.900;1;1;Crossing Republik,Ghaziabad;28.629.811;77.434.197;31.0
Dealer;0;0;1;BHK;1600.0;1;1;Jamtha,Lalitpur;24.690.279.999.999.900;7.841.889;17.6
Owner;0;0;1;BHK;5.601.034.037.000.000;1;1;Ambegaon Pathar,Pune;19.116.670.000.000.000;7.373.333.000.000.000;26.0
Dealer;0;0;1;BHK;6.026.406.618;1;1;Dina Bama Estate,Mumbai;1.896.667;7.283.333;110.0
Dealer;0;0;4;BHK;2.596.728.123;1;1;Harlur Road,Bangalore;12.904.179;77.665.897;200.0
Owner;0;0;1;BHK;3.498.190.591;1;1;Gandhigram,Rajkot;22.308.966;70.776.713;14.5
Dealer;0;0;2;BHK;1.139.211.666;1;1;Sodepur,Kolkata;2.269.995;88.390.833;50.0
Dealer;0;1;2;BHK;11.570.529.179.999.900;1;1;Old Madras Road,Bangalore;12.990.758;77.656.104;68.0
Dealer;1;0;2;BHK;9.015.384.615;0;1;Jwalapur,Haridwar;299.243;781.076;29.3
Owner;0;0;3;BHK;960.0;1;1;Azad Nagar,Kanpur;26.507.928.000.000.000;80.296.745;60.0
Dealer;0;0;2;BHK;1.100.063.465;1;1;Sector-93 Noida,Noida;285.216;773.863;52.0
Owner;0;0;3;BHK;1.440.144.014;1;1;Sector-76 Noida,Noida;28.567.633;77.383.124;80.0
Owner;0;0;2;BHK;1.235.177.866;1;1;Whitefield,Bangalore;129.958.935;77.761.394;100.0
Owner;0;0;2;BHK;1.649.917.504;1;1;New Shimla,Shimla;31.104.771.500.000.000;771.750.505;110.0
Dealer;1;1;1;BHK;3.914.590.747;0;1;Dombivli (East),Mumbai;192.167;730.833;35.2
Owner;1;1;2;BHK;1250.0;0;1;Zirakpur,Chandigarh;30.662.283.000.000.000;76.822.397;55.0
Dealer;1;1;2;BHK;1.095.290.252;0;1;Andheri (East),Lalitpur;191.145;728.712;160.0
Dealer;0;0;1;BHK;5.660.048.763;1;1;Garodia Nagar,Lalitpur;19.075.297;7.290.996;130.0
Dealer;0;0;3;BHK;1200.0;1;1;Gandhi Path,Jaipur;25.879.721;86.587.391;27.0
Dealer;0;1;2;BHK;1.109.813.084;1;1;Sector-78 Noida,Noida;28.560.719;77.386.208;57.0
Dealer;0;0;2;BHK;840.0;1;1;Dunlop,Kolkata;2.254.111;8.833.778.000.000.000;42.0
Owner;0;1;3;BHK;1.935.297.516;1;1;Koba,Gandhinagar;231.505;726.399;67.0
Dealer;0;0;2;BHK;9.696.969.697.000.000;1;1;Mahakali Caves,Mumbai;19.137.384;72.870.319;160.0
Dealer;0;1;2;BHK;10.120.112.449.999.900;1;1;Balagere,Bangalore;12.936.869.999.999.900;77.720.248;79.2
Dealer;0;0;2;BHK;1.070.090.958;1;1;Mira Road,Lalitpur;19.283.359;72.864.964;100.0
Builder;1;0;3;BHK;1.421.212.121;0;0;Gorewada,Maharashtra;21.202.671;79.051.817;46.9
Dealer;0;1;3;BHK;2.049.705.355;1;1;Sahastradhara Road,Dehradun;30.382.066;78.123.734;80.0
Dealer;1;1;3;BHK;1.450.021.049;0;1;Thakur Village,Lalitpur;1.291.668;7.759.196;310.0
Owner;0;0;3;BHK;1.672.240.803;1;1;Jayanna Layout,Bangalore;1.296.991;7.759.796;75.0
Dealer;0;0;2;BHK;9.002.770.082.999.990;1;1;Zirakpur,Chandigarh;30.662.283.000.000.000;76.822.397;26.0
Dealer;1;1;2;BHK;1.163.384.391;0;1;Shalimar garden,Ghaziabad;28.686.090.999.999.900;77.334.644;31.9
Owner;0;0;2;BHK;9.001.636.661;1;1;Sector-28 Pratap Nagar,Jaipur;26.807.408.000.000.000;7.583.865.899.999.990;22.0
Dealer;1;1;2;BHK;1.398.073.418;0;1;Mastemau,Lucknow;2.680.382;81.028.655;53.7
Dealer;0;1;1;BHK;7.648.523.657.000.000;1;1;Ghodbunder Road,Maharashtra;18.96;72.82;64.5
Dealer;1;1;2;BHK;1.274.141.631;0;1;Konanakunte,Bangalore;128.855;775.638;95.0
Dealer;0;0;2;BHK;10.700.724.890.000.000;1;1;Electronic City,Bangalore;128.458;776.727;62.0
Dealer;1;1;3;BHK;135.098.622;0;0;Akshaya Nagar,Bangalore;1.296.991;7.759.796;100.0
Dealer;0;1;1;BHK;38.598.116.410.000.000;1;1;Patlipada,Maharashtra;21.308.574;73.974.824;75.0
Dealer;0;0;3;BHK;1600.0;1;1;Vaibhav Khand,Ghaziabad;289.196;768.972;86.0
Dealer;0;0;3;BHK;18.549.030.030.000.000;1;1;Sector 82 Faridabad,Faridabad;28.394.375;7.735.722.700.000.000;69.8
Dealer;0;0;2;BHK;1.507.348.323;1;1;Kalena Agrahara,Bangalore;12.865.219;7.759.036;120.0
Dealer;0;1;2;BHK;7.921.419.517.999.990;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;25.0
Owner;0;0;4;BHK;21.938.572;1;1;Mahalingapuram,Chennai;13.09;80.27;330.0
Dealer;0;1;2;BHK;11.000.169.230.000.000;1;1;Thane West,Mumbai;19.18;7.296.333;130.0
Dealer;0;0;5;BHK;4.612.850.082;1;1;Sector-137 Noida,Noida;28.506.453.999.999.900;7.740.956.800.000.000;140.0
Dealer;1;1;1;BHK;5.900.401.227.000.000;0;1;Sector-143B Noida,Noida;28.495.803.000.000.000;7.742.684.799.999.990;25.0
Dealer;0;0;2;BHK;1.137.656.428;1;1;Sector 10 Kharghar,Lalitpur;19.033.956;73.075.342;110.0
Owner;0;0;2;BHK;800.0;1;1;Dandia Bazar,Vadodara;22.3;73.2;20.0
Dealer;0;0;2;BHK;10.254.498;1;1;Majiwada,Mumbai;19.218.498;72.992.114;110.0
Dealer;0;0;1;BHK;6.600.660.066;1;1;Jagatpura,Jaipur;26.832.353;75.841.749;20.0
Dealer;0;0;2;BHK;1.100.478.469;1;1;Jagatpura,Jaipur;26.832.353;75.841.749;23.0
Dealer;0;0;1;BHK;35.005.834.310.000.000;1;1;Birati,Kolkata;2.265.921;884.384;15.0
Owner;0;0;1;BHK;6.400.931.045;1;1;Chakan,Pune;18.744.775;73.823.649;22.0
Owner;0;0;2;BHK;12.000.872.789.999.900;1;1;6th Phase JP Nagar,Bangalore;35.0;136.0;55.0
Dealer;0;1;3;BHK;2.237.970.906;1;1;Sector-121 Mohali,Mohali;30.696.627.000.000.000;76.693.764;120.0
Owner;0;1;3;BHK;1.725.200.246;1;1;Katara Hills,Bhopal;23.185.756;77.498.465;28.0
Dealer;0;0;2;BHK;1.444.141.689;1;1;Budigere,Bangalore;13.141.581;77.749.756;79.5
Owner;0;0;2;BHK;1.305.220.884;1;1;Whitefield,Bangalore;129.958.935;77.761.394;65.0
Dealer;0;1;2;BHK;1.160.092.807;1;1;Taloja,Mumbai;19.076.057.000.000.000;73.097.319;65.0
Owner;0;0;3;BHK;1.650.165.017;1;1;Sector-62 Noida,Noida;286.221;773.674;90.0
Dealer;0;1;4;BHK;2.143.163.309;1;1;Sector-75 Noida,Noida;28.576.117;77.382.136;100.0
Owner;0;0;2;BHK;8.399.440.037;1;1;Poranki,Vijayawada;1.647.431;8.071.281;18.0
Dealer;0;1;3;BHK;1.235.230.934;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;34.5
Dealer;0;0;3;BHK;18.005.540.170.000.000;1;1;Sector-45 Noida,Noida;28.553.373.999.999.900;77.355.611;52.0
Owner;0;0;2;BHK;1.155.042.203;1;1;Rajarajeshwari Nagar,Bangalore;12.919.423;77.522.774;52.0
Dealer;0;0;2;BHK;10.529.830.240.000.000;1;1;Bandra (West),Mumbai;1.905.444;7.284.056;410.0
Dealer;0;0;4;BHK;1.695.364.238;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;64.0
Owner;0;0;2;BHK;7.351.077.313;1;1;Itkheda,Aurangabad;20.020.552;7.507.763.299.999.990;29.0
Dealer;0;1;2;BHK;1.028.118.419;1;1;Ghodbunder Road,Mumbai;28.743.724;7.681.131.500.000.000;83.0
Owner;0;0;2;BHK;1000.0;1;1;Bariatu,Ranchi;23.399.528;85.357.421;45.0
Dealer;0;0;2;BHK;830.0;1;1;Kasar vadavali,Lalitpur;246.902;78.416;83.0
Owner;0;0;1;BHK;5.166.931.638;1;1;Tronica City,Ghaziabad;28.783.038;77.260.125;19.5
Dealer;1;1;1;BHK;650.0;0;1;Majiwada,Lalitpur;19.218.498;72.992.114;65.0
Owner;0;0;4;BHK;34.002.040.119.999.900;1;1;Karuna Nagar,Bangalore;1.296.991;7.759.796;200.0
Dealer;0;1;2;BHK;6.820.950.061.000.000;1;1;Thane West,Mumbai;19.18;7.296.333;140.0
Builder;1;1;1;BHK;47.333.333.330.000.000;0;0;Chikhali,Lalitpur;24.690.279.999.999.900;7.841.889;28.4
Dealer;0;0;2;BHK;1.105.044.202;1;1;Sector 20 Ulwe,Maharashtra;18.964.489;73.019.574;85.0
Dealer;0;0;3;BHK;1.611.495.333;1;1;Hiranandani Estate,Mumbai;19.255.098;729.815.265;240.0
Dealer;0;0;2;BHK;9.896.790.612;1;1;Malad (West),Maharashtra;191.849;728.347;140.0
Dealer;0;1;3;BHK;1.822.017.645;1;1;Binny Pete,Bangalore;1.296.991;7.759.796;190.0
Dealer;1;1;3;BHK;2.533.333.333;0;1;Bani Park,Jaipur;26.930.121.000.000.000;75.790.763;190.0
Dealer;0;1;3;BHK;2.300.279.764;1;1;Dera Bassi,Chandigarh;30.594.843;7.684.983.000.000.000;74.0
Owner;0;0;3;BHK;1.585.014.409;1;1;Panchasayar,Kolkata;2.254.111;8.833.778.000.000.000;110.0
Owner;0;0;3;BHK;1500.0;1;1;Sodepur,Kolkata;2.269.995;88.390.833;30.0
Owner;0;0;3;BHK;7.851.934.941.000.000;1;1;Chandapura,Bangalore;12.800.089.999.999.900;7.771.181.999.999.990;28.0
Owner;0;0;1;BHK;900.0;1;1;Dhankawadi,Pune;18.462.505;73.852.052;45.0
Dealer;0;1;2;BHK;9.496.510.469.000.000;1;1;Sector-75 Noida,Noida;28.576.117;77.382.136;38.1
Owner;0;0;3;BHK;1.550.169.109;1;1;Marathahalli,Bangalore;1.295.619;7.770.194.000.000.000;110.0
Owner;0;0;2;BHK;9.983.193.277;1;1;Sarkanda,Bilaspur;22.102.094;82.150.476;29.7
Owner;0;0;1;BHK;32.805.866.460.000.000;1;1;Jankipuram,Lucknow;2.692.652;80.948.937;17.0
Owner;0;0;1;BHK;46.992.481.200.000.000;1;1;Nehru Nagar Chromepet Chennai,Chennai;1.295.161;8.014.097;25.0
Owner;0;0;2;BHK;7.000.538.502.999.990;1;1;shiyapura,Vadodara;22.3;73.2;13.0
Owner;0;0;1;BHK;687.521.485;1;1;CHETNA COLONY,Ahmednagar;15.359.746;7.512.186.700.000.000;20.0
Owner;0;0;2;BHK;5.501.481.167.999.990;1;1;Gulmohar Colony,Bhopal;23.185.601.000.000.000;7.743.543.299.999.990;13.0
Dealer;0;0;2;BHK;1.323.308.271;1;1;Sargasan,Gandhinagar;23.182.972;72.611.485;44.0
Dealer;1;1;3;BHK;17.750.373.690.000.000;0;1;Malad (East),Maharashtra;191.758;728.643;190.0
Dealer;0;0;3;BHK;1.330.023.054;1;1;Hiranandani Gardens - Powai,Mumbai;19.124.896;7.289.350.300.000.000;450.0
Dealer;0;1;5;BHK;5.800.334.635;1;1;Baner,Pune;18.558.319;7.377.588;520.0
Dealer;0;1;3;BHK;1.502.325.581;1;0;Navalur,Chennai;12.845.659;80.231.049;6460.0
Dealer;0;0;1;BHK;6.430.408.687.999.990;1;1;Badlapur (East),Lalitpur;24.690.279.999.999.900;7.841.889;22.5
Dealer;0;1;1;BHK;850.0;1;1;Chakan,Pune;18.744.775;73.823.649;27.2
Dealer;0;1;2;BHK;1.175.088.132;1;1;New Panvel,Maharashtra;18.966.114;73.148.278;80.0
Owner;0;0;2;BHK;680.0;1;1;Banu Nagar,Chennai;13.134.397;8.015.945.500.000.000;27.2
Dealer;0;1;3;BHK;2.350.094.111;1;1;Kulhan,Dehradun;30.33;78.06;87.4
Dealer;1;1;3;BHK;6.420.711.974;0;0;Bagalur,Bangalore;13.143.932.999.999.900;77.667.304;49.6
Owner;0;1;2;BHK;9.101.585.437.000.000;1;1;Chakan,Pune;18.744.775;73.823.649;31.0
Dealer;0;0;2;BHK;1.325.158.228;1;1;Kalena Agrahara,Bangalore;12.865.219;7.759.036;67.0
Dealer;0;0;2;BHK;1.049.090.909;1;1;Swawlambi Nagar,Lalitpur;24.690.279.999.999.900;7.841.889;57.7
Owner;0;0;2;BHK;9.498.480.242.999.990;1;1;Alwar Bypass Road,Bhiwadi;282.102;768.606;25.0
Dealer;0;0;2;BHK;1.175.059.952;1;1;Magarpatta,Pune;18.510.861;73.926.175;98.0
Dealer;0;1;3;BHK;194.375.703;1;1;Sector-74 Noida,Noida;28.577.672.999.999.900;77.389.781;86.4
Dealer;0;0;3;BHK;24.350.649.350.000.000;1;1;Royal Vatika,Kota;25.025.959;75.873.414;150.0
Dealer;0;1;1;BHK;7.129.616.427;1;1;Kanjur Marg (East),Maharashtra;18.96;72.82;100.0
Owner;0;0;3;BHK;1.380.096.227;1;1;Noida Extension,Noida;28.579.003.999.999.900;77.431.173;54.5
Dealer;0;0;2;BHK;10.491.884.220.000.000;1;1;Chembur (East),Mumbai;1.905.871;7.289.969;170.0
Owner;1;0;2;BHK;1.150.049.358;0;1;Neo Town Electronic City Phase 1,Bangalore;128.458;776.727;69.9
Dealer;0;1;2;BHK;834.747.767;1;1;Bandra Kurla Complex,Mumbai;1.905.444;7.284.056;300.0
Dealer;0;1;2;BHK;12.912.746.730.000.000;1;1;Sector-23 Kharghar,Lalitpur;19.055.891;7.306.786.899.999.990;140.0
Dealer;0;1;4;BHK;2.086.230.876;1;1;Bypass Road,Bhopal;23.371.554;77.991.251;45.0
Dealer;0;1;4;BHK;38.517.975.060.000.000;1;1;Sector 81 Faridabad,Faridabad;28.392.678.999.999.900;77.344.375;210.0
Dealer;0;0;1;BHK;6.000.738.552;1;1;Thite Nagar,Pune;19.350.789.000.000.000;7.336.539.499.999.990;32.5
Owner;0;0;3;BHK;11.302.211.300.000.000;1;1;Sector-168 Noida,Noida;28.494.868;77.410.298;46.0
Owner;0;0;3;BHK;14.040.014.039.999.900;1;1;Santhi Nagar,Eluru;16.708.039.000.000.000;81.081.471;40.0
Owner;0;1;3;BHK;1.555.176.821;1;1;Varthur,Bangalore;129.407;777.466;73.0
Dealer;0;1;3;BHK;8.620.689.654.999.990;1;1;Marol,Lalitpur;24.690.279.999.999.900;7.841.889;240.0
Dealer;0;0;1;BHK;4.940.304.652;1;1;Mukt Sainik Colony,Kolhapur;16.710.471;74.264.881;24.0
Builder;1;0;2;BHK;12.168.421.050.000.000;0;0;Thiruverkadu,Chennai;13.071.572;80.124.247;57.8
Owner;0;0;2;BHK;1000.0;1;1;Konnagar,Kolkata;22.7;88.35;23.0
Dealer;0;0;2;BHK;1.237.859.455;1;1;Succorro,Goa;1.540.194;7.404.333.000.000.000;65.0
Owner;0;0;3;BHK;925.0;1;1;Lashkarpur,Kolkata;22.581.404;8.810.884;37.0
Dealer;0;1;3;BHK;7.451.403.888;1;1;Sector 88 Faridabad,Faridabad;28.431.862;77.351.104;34.5
Owner;0;0;3;BHK;1.700.013.077;1;1;Ardendale,Bangalore;50.817.397;442.145;130.0
Owner;0;0;2;BHK;109375.0;1;1;Kunchanapalli,Vijayawada;164.622;806.179;35.0
Dealer;0;0;3;BHK;1.701.444.623;1;1;CDA Colony,Patna;25.618.705;8.517.096;53.0
Dealer;0;1;3;BHK;1.600.492.459;1;1;Mansarovar Extension,Jaipur;268.626;757.633;52.0
Dealer;0;1;2;BHK;1.226.830.244;1;1;Thoraipakkam,Chennai;12.946.431;8.023.938.299.999.990;92.0
Dealer;0;0;3;BHK;1.450.245.426;1;1;Damana Square,Bhubaneswar;20.333.451.999.999.900;85.825.738;65.0
Dealer;0;0;4;BHK;20.157.903.579.999.900;1;1;Patia,Bhubaneswar;20.353.795;8.582.101.999.999.990;120.0
Dealer;0;0;3;BHK;16.003.810.429.999.900;1;1;Dumas Road,Surat;21.106.735.999.999.900;72.718.721;67.2
Dealer;1;1;2;BHK;9.840.288.511;0;1;Mira Road,Lalitpur;19.283.359;72.864.964;95.5
Dealer;1;1;1;BHK;36.900.369;0;0;Mira Road East,Mumbai;192.836;728.675;45.0
Owner;0;0;3;BHK;18.563.207.719.999.900;1;1;Yelahanka,Bangalore;1.311.389;7.759.833;100.0
Owner;0;0;2;BHK;9.500.542.888;1;1;Belathur,Bangalore;13.012.767;77.756.579;35.0
Owner;0;0;2;BHK;1.155.327.343;1;1;Dindoli,Surat;21.142.359;72.862.596;36.0
Owner;0;0;2;BHK;8.450.704.225;1;1;Naora,Kolkata;2.254.111;8.833.778.000.000.000;24.0
Owner;0;1;2;BHK;8.400.460.299;1;1;Budigere,Bangalore;13.141.581;77.749.756;36.5
Owner;0;0;3;BHK;1.150.234.742;1;1;Tapadia Nagar,Akola;20.718.207;77.012.078;49.0
Dealer;0;1;2;BHK;1.100.025.582;1;1;kavesar,Lalitpur;24.690.279.999.999.900;7.841.889;86.0
Dealer;0;0;3;BHK;2.800.019.064;1;1;Breach Candy,Mumbai;18.967.801;72.804.393;2350.0
Dealer;1;0;1;BHK;6.151.468.315.000.000;0;1;Karade Khurd,Maharashtra;19.468.201.999.999.900;73.292.858;19.9
Dealer;0;0;2;BHK;7.141.237.815.000.000;1;1;Surapet,Chennai;1.308.389;80.27;31.5
Owner;0;1;2;BHK;1.352.163.462;1;1;Ved Vyas Puri,Meerut;28.99;77.7;45.0
Dealer;0;1;2;BHK;1.465.315.666;1;1;Kanakpura,Jaipur;269.186;75.71;56.4
Dealer;0;1;2;BHK;12.161.028.800.000.000;1;1;Whitefield,Bangalore;129.958.935;77.761.394;87.0
Owner;0;1;3;BHK;1.470.155.837;1;1;Mowa,Raipur;212.751;8.166.765;50.0
Owner;0;0;2;BHK;1.139.589.905;1;1;Sector 1 HSR Layout,Bangalore;12.91;77.64;57.8
Dealer;1;1;2;BHK;1.020.116.992;0;1;Mira Road,Mumbai;19.283.359;72.864.964;71.5
Dealer;0;0;1;BHK;7.000.259.269;1;1;Sector 35I Kharghar,Mumbai;19.038.204.999.999.900;7.306.612;54.0
