Lever position ;Ship speed (v) ;Gas Turbine (GT);GT rate of revolutions (GTn) ;Starboard Propeller Torque ;Port Propeller Torque (Tp);Hight Pressure (HP);HP Turbine exit pressure;GT Compressor outlet air pressure (P2) [bar]  ;GT exhaust gas pressure (Pexh) ;Turbine Injecton Control (TIC) [%]  ;GT Compressor decay state coefficient  ;FuelFlow
1.138;3;497.812;1.358.644;8.059;8.059;461.178;1.105;5.971;1.019;2.102;0.959;0.078
2.088;6;4.893.832;1.344.558;22.393;22.393;579.93;1.262;6.861;1.019;23.77;0.959;0.232
3.144;9;8.378.637;1.386.754;60.345;60.345;597.673;1.389;7.541;1.02;12.762;0.959;0.253
4.161;12;14.723.347;1.547.463;113.769;113.769;652.748;1.658;8.97;1.022;17.728;0.959;0.351
5.14;15;21.634.599;1.924.317;175.274;175.274;721.659;2.08;11.153;1.026;25.872;0.959;0.512
6.175;18;29.791.617;2.307.437;246.218;246.218;789.985;2.503;13.304;1.03;35.161;0.959;0.696
7.148;21;38.985.154;2.678.074;332.233;332.233;843.372;2.966;15.622;1.035;45.149;0.959;0.894
8.206;24;50.996.933;3.087.592;438.073;438.073;940.814;3.578;18.556;1.041;61.602;0.959;1.22
9.3;27;72.765.734;3.560.407;644.88;644.88;1100.75;4.503;22.733;1.049;91.312;0.959;1.808
1.138;3;970.412;1.378.503;9.199;9.199;474.235;1.126;6.077;1.019;0.0;0.959;0.091
2.088;6;4.726.382;1.344.231;22.333;22.333;574.707;1.256;6.829;1.019;23.799;0.959;0.226
3.144;9;8.378.728;1.386.755;60.354;60.354;596.855;1.389;7.534;1.02;12.728;0.959;0.252
4.161;12;14.723.395;1.547.464;113.77;113.77;651.859;1.658;8.961;1.022;17.685;0.959;0.35
5.14;15;21.634.745;1.924.319;175.311;175.311;720.676;2.08;11.141;1.026;25.816;0.959;0.511
6.175;18;29.791.926;2.307.424;246.237;246.237;788.868;2.503;13.291;1.03;35.088;0.959;0.695
7.148;21;38.984.733;2.678.075;332.231;332.231;842.331;2.966;15.605;1.035;45.067;0.959;0.892
8.206;24;50.997.061;3.087.599;437.977;437.977;939.776;3.577;18.534;1.041;61.505;0.959;1.218
9.3;27;72.766.495;3.560.411;644.835;644.835;1.099.857;4.502;22.705;1.049;91.206;0.959;1.805
1.138;3;1363.88;1.390.866;9.934;9.934;485.198;1.143;6.166;1.019;0.0;0.959;0.104
2.088;6;4655.09;1.344.203;22.331;22.331;571.881;1.254;6.812;1.019;23.727;0.959;0.223
3.144;9;8.378.842;1.386.755;60.356;60.356;596.038;1.389;7.527;1.02;12.694;0.959;0.251
4.161;12;14.723.531;1.547.464;113.791;113.791;650.973;1.658;8.952;1.022;17.643;0.959;0.349
5.14;15;21.634.755;1.924.321;175.317;175.317;719.695;2.079;11.13;1.026;25.76;0.959;0.51
6.175;18;29.792.298;2.307.411;246.209;246.209;787.755;2.503;13.277;1.03;35.015;0.959;0.693
7.148;21;38.984.305;2.678.075;332.114;332.114;841.293;2.965;15.588;1.035;44.986;0.959;0.891
8.206;24;50997.12;3.087.605;438.03;438.03;938.741;3.577;18.513;1.041;61.408;0.959;1.216
9.3;27;72.767.628;3.560.406;644.926;644.926;1.098.967;4.5;22.678;1.049;91.101;0.959;1.803
1.138;3;1.550.654;1.395.676;10.216;10.216;490.204;1.151;6.204;1.019;0.0;0.959;0.11
2.088;6;4.326.002;1344.07;22.302;22.302;561.817;1.244;6.742;1.019;23.51;0.959;0.211
3.144;9;8.378.928;1.386.756;60.357;60.357;595.223;1.389;7.519;1.02;12.66;0.959;0.251
4.161;12;14.723.563;1.547.465;113.788;113.788;650.089;1.658;8.943;1.022;17.6;0.959;0.348
5.14;15;21.635.031;1.924.323;175.301;175.301;718.718;2.079;11.119;1.026;25.704;0.959;0.509
6.175;18;29.792.519;2.307.392;246.209;246.209;786.645;2.502;13.263;1.03;34.942;0.959;0.692
7.148;21;38.983.867;2.678.075;332.177;332.177;840.258;2.965;15.571;1.035;44.904;0.959;0.889
8.206;24;50.997.114;3.087.606;437.991;437.991;937.709;3.576;18.492;1.041;61.311;0.959;1.214
9.3;27;72.767.842;3.560.419;644.806;644.806;1.098.076;4.499;22.651;1.049;90.995;0.959;1.801
1.138;3;2.022.183;1.405.481;10.815;10.815;503.909;1.171;6.308;1.019;0.0;0.959;0.126
2.088;6;4.327.127;1.344.159;22.309;22.309;561.06;1.244;6.737;1.019;23.402;0.959;0.21
3.144;9;8379.02;1.386.757;60.358;60.358;594.41;1.389;7.512;1.02;12.626;0.959;0.25
4.161;12;14.723.705;1.547.465;113.782;113.782;649.207;1.657;8.934;1.022;17.558;0.959;0.348
5.14;15;21.635.162;1.924.324;175.272;175.272;717.743;2.079;11.107;1.026;25.648;0.959;0.508
6.175;18;29.792.871;2307.38;246.299;246.299;785.539;2.502;13.249;1.03;34.87;0.959;0.69
7.148;21;38983.49;2.678.075;332.144;332.144;839.226;2.964;15.554;1.035;44.823;0.959;0.887
8.206;24;50.997.033;3.087.603;438.077;438.077;936.68;3.575;18.47;1.041;61.215;0.959;1.212
9.3;27;72.769.209;3.560.414;644.949;644.949;1.097.194;4.498;22.624;1.049;90.89;0.959;1.799
1.138;3;3.079.703;1.416.449;11.498;11.498;535.483;1.211;6.529;1.019;0.0;0.959;0.162
2.088;6;4.068.709;1.344.644;22.396;22.396;552.736;1.235;6.684;1.019;22.542;0.959;0.2
3.144;9;8.379.092;1.386.757;60.359;60.359;593.599;1.389;7.505;1.02;12.593;0.959;0.249
4.161;12;14723.74;1.547.466;113.794;113.794;648.326;1.657;8.925;1.022;17.516;0.959;0.347
5.14;15;21.635.399;1.924.325;175.323;175.323;716.771;2.078;11.096;1.026;25.592;0.959;0.507
6.175;18;29.793.171;2.307.366;246.22;246.22;784.436;2.501;13.236;1.03;34.798;0.959;0.689
7.148;21;38.983.106;2.678.077;332.118;332.118;838.196;2.963;15.537;1.035;44.742;0.959;0.886
8.206;24;50.996.892;3.087.602;438.101;438.101;935.653;3.574;18.449;1.041;61.119;0.959;1.21
9.3;27;72.770.123;3.560.414;645.111;645.111;1.096.311;4.497;22.596;1.049;90.785;0.959;1.797
1.138;3;3.396.961;1.417.744;11.581;11.581;544.399;1.223;6.591;1.019;0.0;0.959;0.173
2.088;6;3.987.764;1.345.062;22.465;22.465;549.546;1.233;6.662;1.019;22.193;0.959;0.196
3.144;9;8.379.228;1.386.758;60.355;60.355;592.789;1.389;7.497;1.02;12.559;0.959;0.249
4.161;12;14.723.834;1.547.467;113.788;113.788;647.449;1.657;8.916;1.022;17.473;0.959;0.346
5.14;15;21.635.538;1.924.327;175.278;175.278;715.8;2.078;11.085;1.026;25.536;0.959;0.505
6.175;18;29.793.471;2.307.353;246.304;246.304;783.336;2.501;13.222;1.03;34.726;0.959;0.688
7.148;21;38.982.761;2.678.076;332.11;332.11;837.17;2.963;15.52;1.035;44.661;0.959;0.884
8.206;24;50.996.791;3087.6;438.125;438.125;934.63;3.573;18.428;1.041;61.023;0.959;1.208
9.3;27;72.770.796;3560.42;644.765;644.765;1095.43;4.495;22.569;1.049;90.68;0.959;1.795
1.138;3;4.577.568;1414.14;11.374;11.374;579.069;1.262;6.806;1.019;0.0;0.959;0.214
2.088;6;3.913.413;1.345.402;22.522;22.522;546.426;1.23;6.642;1.019;21.965;0.959;0.193
3.144;9;8.379.306;1.386.759;60.358;60.358;591.981;1.388;7.49;1.02;12.525;0.959;0.248
4.161;12;14.723.969;1.547.467;113.794;113.794;646.573;1.657;8.907;1.022;17.431;0.959;0.345
5.14;15;21.635.666;1.924.329;175.276;175.276;714.833;2.078;11.073;1.026;25.481;0.959;0.504
6.175;18;29.793.868;2.307.345;246.228;246.228;782.24;2.501;13.208;1.03;34.654;0.959;0.686
7.148;21;38.982.402;2.678.077;332.214;332.214;836.146;2.962;15.503;1.035;44.581;0.959;0.883
8.206;24;50.996.263;3.087.589;438.003;438.003;933.592;3.572;18.407;1.041;60.925;0.959;1.206
9.3;27;72.771.747;3.560.423;644.898;644.898;1.094.553;4.494;22.542;1.049;90.576;0.959;1.793
1.138;3;6.003.768;1.400.019;10.535;10.535;618.648;1.304;7.041;1.019;0.0;0.959;0.262
2.088;6;3.791.752;1.345.728;22.577;22.577;542.047;1.226;6.614;1.019;21.533;0.959;0.187
3.144;9;8.379.423;1.386.759;60.351;60.351;591.175;1.388;7.483;1.02;12.492;0.959;0.247
4.161;12;14.724.066;1.547.468;113.794;113.794;645.7;1.657;8.898;1.022;17.389;0.959;0.344
5.14;15;21.635.825;1.924.331;175.3;175.3;713.867;2.078;11.062;1.026;25.425;0.959;0.503
6.175;18;29.794.192;2.307.333;246.25;246.25;781.147;2.5;13.195;1.03;34.582;0.959;0.685
7.148;21;38.981.995;2.678.078;332.208;332.208;835.125;2.962;15.486;1.035;44.5;0.959;0.881
8.206;24;50.995.659;3.087.576;437.977;437.977;932.546;3.571;18.386;1.041;60.827;0.959;1.204
9.3;27;72.773.062;3.560.421;644.809;644.809;1093.68;4.493;22.515;1.049;90.473;0.959;1.791
1.138;3;6.330.352;1.394.787;10.216;10.216;627.406;1.312;7.08;1.019;0.0;0.959;0.273
2.088;6;3.508.256;1.347.583;22.894;22.894;532.336;1.217;6.557;1.019;19.896;0.959;0.175
3.144;9;8.379.552;1386.76;60.364;60.364;590.37;1.388;7.476;1.02;12.458;0.959;0.247
4.161;12;14.724.119;1.547.468;113.797;113.797;644.828;1.656;8.889;1.022;17.347;0.959;0.343
5.14;15;21.636.048;1.924.333;175.288;175.288;712.905;2.077;11.051;1.026;25.37;0.959;0.502
6.175;18;29.794.464;2307.32;246.299;246.299;780.057;2.5;13.181;1.03;34.51;0.959;0.683
7.148;21;38.981.667;2.678.079;332.165;332.165;834.107;2.961;15.469;1.035;44.42;0.959;0.879
8.206;24;50995.17;3.087.561;437.971;437.971;931.507;3.57;18.365;1.041;60.73;0.959;1.202
9.3;27;72.772.895;3.560.425;644.939;644.939;1.092.801;4.492;22.488;1.049;90.368;0.959;1.789
1.138;3;7.101.325;1.379.603;9.326;9.326;650.746;1.33;7.19;1.019;1.834;0.959;0.305
2.088;6;3.466.308;1.348.142;22.995;22.995;530.118;1.216;6.542;1.019;19.602;0.959;0.173
3.144;9;8.379.626;1386.76;60.358;60.358;589.567;1.388;7.469;1.02;12.425;0.959;0.246
4.161;12;14.724.147;1.547.469;113.775;113.775;643.959;1.656;8.88;1.022;17.305;0.959;0.343
5.14;15;21.636.056;1.924.336;175.283;175.283;711.943;2.077;11.039;1.026;25.314;0.959;0.501
6.175;18;29.794.779;2.307.309;246.276;246.276;778.971;2.5;13.168;1.03;34.439;0.959;0.682
7.148;21;38.981.275;2.678.078;332.178;332.178;833.091;2.96;15.452;1.035;44.34;0.959;0.878
8.206;24;50.994.983;3.087.554;438.073;438.073;930.473;3.57;18.345;1.041;60.634;0.959;1.2
9.3;27;72774.71;3.560.423;644.796;644.796;1.091.936;4.491;22.462;1.049;90.265;0.959;1.787
1.138;3;7.224.015;1.348.865;7.555;7.555;661.588;1.324;7.17;1.019;18.56;0.959;0.328
2.088;6;3.415.068;1348.75;23.102;23.102;527.627;1.214;6.528;1.019;19.096;0.959;0.17
3.144;9;8.379.753;1.386.761;60.363;60.363;588.766;1.388;7.461;1.02;12.391;0.959;0.245
4.161;12;14724.27;1547.47;113.795;113.795;643.092;1.656;8.871;1.022;17.263;0.959;0.342
5.14;15;21.636.272;1.924.337;175.283;175.283;710.985;2.077;11.028;1.026;25.259;0.959;0.5
6.175;18;29.795.094;2307.3;246.247;246.247;777.888;2.499;13.154;1.03;34.368;0.959;0.68
7.148;21;38.980.999;2.678.078;332.087;332.087;832.079;2.96;15.436;1.035;44.26;0.959;0.876
8.206;24;50.994.871;3.087.549;438.106;438.106;929.442;3.569;18.324;1.041;60.538;0.959;1.198
9.3;27;72.774.661;3.560.431;644.793;644.793;1.091.063;4.489;22.435;1.049;90.161;0.959;1.785
1.138;3;6.266.954;1.327.109;6.34;6.34;641.192;1.292;6.989;1.019;28.008;0.959;0.309
2.088;6;3.232.847;1.350.748;23.452;23.452;520.622;1.208;6.485;1.019;17.986;0.959;0.161
3.144;9;8.379.858;1.386.761;60.369;60.369;587.966;1.388;7.454;1.02;12.358;0.959;0.245
4.161;12;14.724.344;1.547.471;113.789;113.789;642.227;1.656;8.862;1.022;17.222;0.959;0.341
5.14;15;21.636.398;1.924.339;175.298;175.298;710.03;2.077;11.017;1.026;25.204;0.959;0.499
6.175;18;29.795.369;2.307.288;246.289;246.289;776.809;2.499;13.141;1.03;34.297;0.959;0.679
7.148;21;38.980.599;2678.08;332.084;332.084;831.069;2.959;15.419;1.035;44.18;0.959;0.875
8.206;24;50.994.728;3.087.547;438.054;438.054;928.415;3.568;18.304;1.041;60.442;0.959;1.197
9.3;27;72.775.878;3.560.426;644.969;644.969;1.090.199;4.488;22.408;1.049;90.058;0.959;1.783
1.138;3;4.769.838;1.313.513;5.591;5.591;604.319;1.245;6.717;1.019;32.167;0.959;0.268
2.088;6;3152.42;1.352.095;23.699;23.699;517.051;1.206;6.466;1.019;16.754;0.959;0.156
3.144;9;8.379.963;1.386.762;60.362;60.362;587.168;1.388;7.447;1.02;12.325;0.959;0.244
4.161;12;14.724.477;1.547.471;113.788;113.788;641.365;1.656;8.853;1.022;17.18;0.959;0.34
5.14;15;21.636.838;1924.34;175.288;175.288;709.078;2.076;11.006;1.026;25.149;0.959;0.498
6.175;18;29.795.598;2.307.275;246.317;246.317;775.733;2.499;13.127;1.03;34.226;0.959;0.678
7.148;21;38.980.283;2.678.079;332.157;332.157;830.061;2.959;15.402;1.035;44.101;0.959;0.873
8.206;24;50.994.675;3.087.545;437.956;437.956;927.391;3.567;18.283;1.041;60.346;0.959;1.195
9.3;27;72.777.044;3.560.429;645.017;645.017;1.089.338;4.487;22.382;1.049;89.955;0.959;1.781
1.138;3;2050.31;1.310.466;5.409;5.409;526.27;1.158;6.227;1.019;29.686;0.959;0.176
2.088;6;3.006.113;1.355.146;24.243;24.243;510.637;1.201;6.434;1.019;14.806;0.959;0.147
3.144;9;8.380.057;1.386.762;60.37;60.37;586.372;1.388;7.44;1.02;12.291;0.959;0.243
4.161;12;14.724.512;1.547.472;113.79;113.79;640.504;1.655;8.845;1.022;17.138;0.959;0.339
5.14;15;21.636.917;1.924.342;175.297;175.297;708.127;2.076;10.995;1.026;25.094;0.959;0.497
6.175;18;29.796.026;2.307.274;246.339;246.339;774.659;2.498;13.114;1.03;34.155;0.959;0.676
7.148;21;38.979.969;2678.08;332.059;332.059;829.057;2.958;15.385;1.035;44.022;0.959;0.872
8.206;24;50.994.609;3.087.542;437.964;437.964;926.37;3.566;18.263;1.041;60.251;0.959;1.193
9.3;27;72.777.405;3.560.434;645.133;645.133;1.088.474;4.486;22.355;1.049;89.852;0.959;1.779
1.138;3;1.704.963;1.312.146;5.495;5.495;513.95;1.146;6.151;1.019;28.288;0.959;0.162
2.088;6;2.936.378;1.357.433;24.648;24.648;506.855;1.199;6.414;1.019;13.478;0.959;0.142
3.144;9;8.380.231;1.386.763;60.366;60.366;585.578;1.388;7.433;1.02;12.258;0.959;0.243
4.161;12;14.724.586;1.547.472;113.803;113.803;639.645;1.655;8.836;1.022;17.097;0.959;0.338
5.14;15;21636.95;1.924.345;175.306;175.306;707.178;2.076;10.984;1.026;25.039;0.959;0.496
6.175;18;29.796.261;2.307.264;246.33;246.33;773.59;2.498;13.1;1.03;34.085;0.959;0.675
7.148;21;38.979.604;2.678.082;332.096;332.096;828.055;2.957;15.369;1.035;43.942;0.959;0.87
8.206;24;50994.56;3087.54;437.969;437.969;925.352;3.566;18.242;1.041;60.156;0.959;1.191
9.3;27;72.778.835;3.560.428;645.173;645.173;1.087.618;4.485;22.328;1.049;89.75;0.959;1.777
1.138;3;634.449;1.324.079;6.123;6.123;472.094;1.107;5.921;1.019;19.935;0.959;0.108
2.088;6;2.951.386;1.356.869;24.556;24.556;506.833;1.2;6.411;1.019;13.829;0.959;0.142
3.144;9;8.380.329;1.386.764;60.375;60.375;584.785;1.387;7.426;1.02;12.225;0.959;0.242
4.161;12;14.724.699;1.547.473;113.807;113.807;638.789;1.655;8.827;1.022;17.056;0.959;0.338
5.14;15;21.636.251;1924.35;175.313;175.313;706.226;2.075;10.972;1.026;24.984;0.959;0.495
6.175;18;29.796.528;2.307.254;246.274;246.274;772.523;2.498;13.087;1.03;34.014;0.959;0.673
7.148;21;38.979.296;2.678.081;332.173;332.173;827.055;2.957;15.352;1.035;43.863;0.959;0.868
8.206;24;50.994.466;3.087.539;438.103;438.103;924.338;3.565;18.222;1.041;60.062;0.959;1.189
9.3;27;72.778.832;3.560.439;645.171;645.171;1.086.758;4.483;22.302;1.049;89.647;0.959;1.775
1.138;3;301.639;1.340.269;7.005;7.005;451.066;1.095;5.833;1.019;9.938;0.959;0.077
2.088;6;2.890.643;1.359.723;25.06;25.06;503.073;1.198;6.394;1.019;12.424;0.959;0.137
3.144;9;8.380.354;1.386.764;60.372;60.372;583.993;1.387;7.419;1.02;12.192;0.959;0.241
4.161;12;14.724.806;1.547.474;113.806;113.806;637.935;1.655;8.818;1.022;17.014;0.959;0.337
5.14;15;21.637.323;1.924.348;175.299;175.299;705.289;2.075;10.961;1.026;24.93;0.959;0.493
6.175;18;29796.81;2.307.248;246.333;246.333;771.46;2.497;13.074;1.03;33.944;0.959;0.672
7.148;21;38.978.995;2.678.081;332.081;332.081;826.059;2.956;15.336;1.035;43.785;0.959;0.867
8.206;24;50.994.407;3.087.537;438.106;438.106;923.326;3.564;18.202;1.041;59.967;0.959;1.187
9.3;27;72.780.006;3.560.437;644.823;644.823;1.085.906;4.482;22.275;1.049;89.544;0.959;1.773
1.138;3;452.476;1.354.741;7.809;7.809;449.355;1.102;5.862;1.019;2.038;0.959;0.069
2.088;6;2866.99;1363.33;25.715;25.715;500.111;1.198;6.386;1.019;10.104;0.959;0.132
3.144;9;8.380.474;1.386.765;60.364;60.364;583.203;1.387;7.412;1.02;12.159;0.959;0.241
4.161;12;14.724.848;1.547.474;113.801;113.801;637.082;1.655;8.809;1.022;16.973;0.959;0.336
5.14;15;21.637.514;1924.35;175.332;175.332;704.348;2.075;10.95;1.026;24.876;0.959;0.492
6.175;18;29.797.059;2.307.239;246.354;246.354;770.4;2.497;13.06;1.03;33.874;0.959;0.671
7.148;21;38.978.685;2.678.082;332.175;332.175;825.065;2.956;15.319;1.035;43.706;0.959;0.865
8.206;24;50.994.344;3.087.534;438.004;438.004;922.318;3.563;18.182;1.041;59.873;0.959;1.185
9.3;27;72.780.212;3.560.442;644.935;644.935;1.085.051;4.481;22.249;1.049;89.44;0.959;1.77
1.138;3;738.007;1.368.019;8.565;8.565;456.399;1.115;5.925;1.019;0.0;0.959;0.076
2.088;6;2866.26;1.361.832;25.446;25.446;500.088;1.197;6.379;1.019;10.901;0.959;0.133
3.144;9;8.380.548;1.386.765;60.371;60.371;582.415;1.387;7.404;1.02;12.126;0.959;0.24
4.161;12;14.724.981;1.547.475;113.805;113.805;636.232;1.654;8.801;1.023;16.932;0.959;0.335
5.14;15;21.637.466;1.924.353;175.302;175.302;703.407;2.075;10.939;1.026;24.821;0.959;0.491
6.175;18;29.797.281;2.307.232;246.358;246.358;769.343;2.497;13.047;1.03;33.805;0.959;0.669
7.148;21;38.978.425;2.678.081;332.139;332.139;824.074;2.955;15.303;1.035;43.628;0.959;0.864
8.206;24;50.994.223;3.087.535;438.011;438.011;921.313;3.562;18.161;1.041;59.779;0.959;1.183
9.3;27;72.781.491;3.560.438;645.137;645.137;1.084.204;4.48;22.223;1.049;89.337;0.959;1.768
1.138;3;1.117.493;1.382.746;9.416;9.416;466.821;1.132;6.008;1.019;0.0;0.959;0.088
2.088;6;2.873.098;1362.11;25.499;25.499;499.522;1.198;6.374;1.019;10.655;0.959;0.133
3.144;9;8.380.711;1.386.766;60.379;60.379;581.628;1.387;7.397;1.02;12.093;0.959;0.239
4.161;12;14.725.067;1.547.476;113.798;113.798;635.384;1.654;8.792;1.023;16.891;0.959;0.334
5.14;15;21.637.897;1.924.353;175.352;175.352;702.473;2.074;10.928;1.026;24.767;0.959;0.49
6.175;18;29.797.421;2.307.223;246.291;246.291;768.289;2.496;13.034;1.03;33.735;0.959;0.668
7.148;21;38.978.093;2.678.083;332.132;332.132;823.085;2.954;15.286;1.035;43.549;0.959;0.862
8.206;24;50.994.162;3.087.533;438.086;438.086;920.311;3.561;18.141;1.041;59.685;0.959;1.182
9.3;27;72.781.431;3560.44;645.021;645.021;1.083.358;4.478;22.197;1.049;89.234;0.959;1.766
1.138;3;6.245.618;1.395.284;10.259;10.259;637.132;1.311;7.16;1.019;0.0;0.96;0.28
2.088;6;5.341.558;1.345.728;22.621;22.621;595.763;1.276;6.978;1.019;23.969;0.96;0.25
3.144;9;8.378.007;1.386.751;60.344;60.344;601.326;1.39;7.579;1.02;12.915;0.96;0.256
4.161;12;14.722.801;1.547.459;113.78;113.78;656.758;1.66;9.017;1.022;17.923;0.96;0.355
5.14;15;21.633.359;1924.31;175.264;175.264;726.071;2.082;11.212;1.026;26.131;0.96;0.517
6.175;18;29.789.588;2.307.529;246.218;246.218;795.086;2.505;13.376;1.03;35.502;0.96;0.703
7.148;21;38.988.445;2.678.081;332.237;332.237;847.917;2.97;15.712;1.035;45.524;0.96;0.901
8.206;24;50.994.902;3.087.485;438.093;438.093;945.375;3.583;18.666;1.041;62.05;0.96;1.228
9.3;27;72.761.198;3.560.387;645.053;645.053;1.104.095;4.51;22.877;1.049;91.767;0.96;1.817
1.138;3;7.250.743;1.357.032;8.034;8.034;674.378;1.329;7.288;1.019;15.179;0.96;0.335
2.088;6;5568.08;1.347.289;22.904;22.904;600.707;1.283;7.012;1.019;23.442;0.96;0.256
3.144;9;8.378.089;1.386.751;60.339;60.339;600.499;1.39;7.571;1.02;12.881;0.96;0.255
4.161;12;14.722.883;1547.46;113.769;113.769;655.858;1.659;9.008;1.022;17.88;0.96;0.354
5.14;15;21.633.485;1.924.311;175.278;175.278;725.076;2.081;11.2;1.026;26.074;0.96;0.516
6.175;18;29789.94;2.307.512;246.181;246.181;793.954;2.505;13.362;1.03;35.428;0.96;0.701
7.148;21;38.987.873;2.678.082;332.278;332.278;846.872;2.97;15.694;1.035;45.441;0.96;0.9
8.206;24;50995.53;3.087.512;438.103;438.103;944.323;3.583;18.644;1.041;61.952;0.96;1.226
9.3;27;72.762.129;3.560.393;644.763;644.763;1103.19;4.509;22.849;1.049;91.66;0.96;1.814
1.138;3;5.886.518;1.325.285;6.254;6.254;645.308;1.282;7.026;1.019;29.803;0.96;0.309
2.088;6;5.329.711;1345.7;22.612;22.612;593.725;1.276;6.959;1.019;23.598;0.96;0.248
3.144;9;8.378.156;1.386.752;60.346;60.346;599.675;1.39;7.564;1.02;12.847;0.96;0.254
4.161;12;14723.0;1547.46;113.777;113.777;654.961;1.659;8.998;1.022;17.838;0.96;0.353
5.14;15;21.633.642;1.924.313;175.277;175.277;724.084;2.081;11.189;1.026;26.017;0.96;0.515
6.175;18;29.790.282;2.307.496;246.182;246.182;792.824;2.505;13.348;1.03;35.354;0.96;0.7
7.148;21;38.987.186;2.678.076;332.205;332.205;845.821;2.969;15.677;1.035;45.359;0.96;0.898
8.206;24;50.995.977;3.087.537;438.124;438.124;943.274;3.582;18.623;1.041;61.855;0.96;1.225
9.3;27;72.762.827;3.560.396;645.032;645.032;1.102.285;4.508;22.821;1.049;91.553;0.96;1.812
1.138;3;3.445.962;1311.86;5.514;5.514;580.426;1.205;6.589;1.019;32.972;0.96;0.235
2.088;6;4.921.223;1.344.398;22.367;22.367;582.024;1.263;6.885;1.019;23.974;0.96;0.234
3.144;9;8.378.264;1.386.753;60.343;60.343;598.852;1.39;7.556;1.02;12.813;0.96;0.254
4.161;12;14.722.961;1.547.461;113.783;113.783;654.066;1.659;8.989;1.022;17.795;0.96;0.352
5.14;15;21.633.599;1.924.315;175.272;175.272;723.093;2.081;11.177;1.026;25.961;0.96;0.514
6.175;18;29.790.672;2.307.483;246.232;246.232;791.698;2.504;13.334;1.03;35.281;0.96;0.699
7.148;21;38.986.555;2.678.073;332.182;332.182;844.774;2.968;15.66;1.035;45.277;0.96;0.896
8.206;24;50.996.359;3.087.556;437.984;437.984;942.228;3.581;18.602;1.041;61.757;0.96;1.223
9.3;27;72.763.569;3.560.401;644.718;644.718;1.101.384;4.506;22.794;1.049;91.446;0.96;1.81
1.138;3;1.272.954;1.318.344;5.841;5.841;508.971;1.132;6.147;1.019;26.427;0.96;0.15
2.088;6;4.747.139;1.344.032;22.305;22.305;576.54;1.257;6.846;1.019;23.959;0.96;0.228
3.144;9;8.378.408;1.386.753;60.338;60.338;598.031;1.39;7.549;1.02;12.779;0.96;0.253
4.161;12;14.723.207;1.547.462;113.776;113.776;653.174;1.659;8.98;1.022;17.752;0.96;0.351
5.14;15;21.634.046;1.924.315;175.26;175.26;722.107;2.08;11.166;1.026;25.904;0.96;0.513
6.175;18;29.790.956;2.307.465;246.214;246.214;790.575;2.504;13.32;1.03;35.208;0.96;0.697
7.148;21;38.986.136;2.678.073;332.145;332.145;843.73;2.968;15.643;1.035;45.195;0.96;0.895
8.206;24;50.996.632;3.087.572;438.028;438.028;941.184;3.58;18.58;1.041;61.66;0.96;1.221
9.3;27;72764.62;3.560.403;644.754;644.754;1.100.487;4.505;22.766;1.049;91.34;0.96;1.808
1.138;3;357.487;1.337.269;6.86;6.86;466.12;1.098;5.938;1.019;13.783;0.96;0.092
2.088;6;4.891.507;1.344.423;22.372;22.372;579.605;1.262;6.867;1.019;23.885;0.96;0.232
3.144;9;8.378.507;1.386.754;60.346;60.346;597.212;1.389;7.542;1.02;12.745;0.96;0.252
4.161;12;14.723.134;1.547.462;113.784;113.784;652.282;1.659;8.971;1.022;17.709;0.96;0.351
5.14;15;21.634.028;1.924.318;175.268;175.268;721.122;2.08;11.154;1.026;25.848;0.96;0.512
6.175;18;29.791.271;2.307.447;246.244;246.244;789.455;2.504;13.306;1.03;35.135;0.96;0.696
7.148;21;38.985.771;2.678.074;332.138;332.138;842.687;2.967;15.626;1.035;45.113;0.96;0.893
8.206;24;50.996.807;3.087.586;438.089;438.089;940.144;3.579;18.559;1.041;61.563;0.96;1.219
9.3;27;72.765.359;3.560.406;644.785;644.785;1.099.591;4.504;22.739;1.049;91.233;0.96;1.806
1.138;3;660.224;1.365.634;8.45;8.45;464.574;1.112;6.003;1.019;0.0;0.96;0.081
2.088;6;4.567.255;1.344.018;22.287;22.287;569.917;1.251;6.802;1.019;23.787;0.96;0.22
3.144;9;8378.58;1.386.754;60.348;60.348;596.394;1.389;7.534;1.02;12.711;0.96;0.252
4.161;12;14.723.343;1.547.463;113.781;113.781;651.395;1.658;8.962;1.022;17.667;0.96;0.35
5.14;15;21.634.237;1924.32;175.278;175.278;720.14;2.08;11.143;1.026;25.792;0.96;0.511
6.175;18;29.791.573;2.307.431;246.277;246.277;788.339;2.503;13.292;1.03;35.062;0.96;0.694
7.148;21;38.985.356;2.678.074;332.148;332.148;841.647;2.967;15.608;1.035;45.031;0.96;0.892
8.206;24;50.996.932;3.087.596;438.119;438.119;939.106;3.578;18.538;1.041;61.466;0.96;1.217
9.3;27;72.766.351;3.560.407;644.744;644.744;1.098.699;4.503;22.712;1.049;91.128;0.96;1.804
1.138;3;998.606;1.378.811;9.217;9.217;474.034;1.127;6.082;1.019;0.0;0.96;0.091
2.088;6;4.264.523;1.344.289;22.338;22.338;560.42;1.242;6.739;1.019;23.231;0.96;0.209
3.144;9;8.378.697;1.386.755;60.348;60.348;595.579;1.389;7.527;1.02;12.677;0.96;0.251
4.161;12;14.723.442;1.547.463;113.79;113.79;650.509;1.658;8.953;1.022;17.624;0.96;0.349
